Statement 1;Statement 2;Statement 3;Statement 4;Statement 5;Statement 6;Statement 7;Statement 8;Statement 9;Statement 10
-1;-1;-1;2;-1;0;-1;-1;0;1
2;2;-2;0;0;1;0;0;-2;0
-2;-2;1;-1;0;-1;1;-2;-2;-1
2;2;1;2;2;1;2;1;2;2
2;2;1;2;1;1;1;2;1;2
3;3;3;3;3;3;3;3;3;3
2;3;2;2;2;2;2;2;2;2
2;2;0;1;no response;0;1;0;0;1
-1;2;1;-2;-2;no response;no response;no response;1;2
no response;0;no response;no response;no response;no response;-2;-1;-1;-1
0;-3;no response;3;no response;-3;2;-3;0;2
1;1;1;2;1;1;0;1;1;1
1;2;3;3;2;1;3;2;1;2
2;2;0;1;-3;-3;-3;1;no response;0
2;2;1;3;2;2;0;1;2;2
2;1;0;2;0;1;0;1;2;2
1;2;2;0;0;-1;2;1;-1;1
2;2;0;2;1;1;1;2;2;2
0;0;-1;1;-1;0;-1;0;0;0
0;2;1;0;0;1;0;0;0;0
1;2;3;no response;1;1;3;no response;1;3
-3;-3;0;0;0;0;0;0;0;-3
3;-2;-2;0;-1;0;-2;-3;-3;0
3;3;2;3;2;2;2;2;3;3
